run_date,genderConcept,variable,value,Range
2020-06-28,FEMALE,ARIVisitInTimeRange,22395,"['2020-01-01', '2020-06-28']"
2020-06-28,MALE,ARIVisitInTimeRange,18751,"['2020-01-01', '2020-06-28']"
2020-06-28,No matching concept,ARIVisitInTimeRange,13,"['2020-01-01', '2020-06-28']"
2020-06-28,FEMALE,SARSCoV2TestedInTimeRange,37800,"['2020-01-01', '2020-06-28']"
2020-06-28,MALE,SARSCoV2TestedInTimeRange,24962,"['2020-01-01', '2020-06-28']"
2020-06-28,No matching concept,SARSCoV2TestedInTimeRange,43,"['2020-01-01', '2020-06-28']"
2020-06-28,FEMALE,SARSCoV2DetectedInTimeRange,976,"['2020-01-01', '2020-06-28']"
2020-06-28,MALE,SARSCoV2DetectedInTimeRange,1046,"['2020-01-01', '2020-06-28']"
2020-06-28,No matching concept,SARSCoV2DetectedInTimeRange,5,"['2020-01-01', '2020-06-28']"
2020-06-28,FEMALE,firstorLastARItoFirstSARSCoV2TestedInDayRange,4761,"[-1, 14]"
2020-06-28,MALE,firstorLastARItoFirstSARSCoV2TestedInDayRange,3673,"[-1, 14]"
2020-06-28,No matching concept,firstorLastARItoFirstSARSCoV2TestedInDayRange,5,"[-1, 14]"
2020-06-28,FEMALE,firstorLastARItoFirstSARSCoV2DetectedInDayRange,384,"[-1, 14]"
2020-06-28,MALE,firstorLastARItoFirstSARSCoV2DetectedInDayRange,392,"[-1, 14]"
2020-06-28,No matching concept,firstorLastARItoFirstSARSCoV2DetectedInDayRange,0,"[-1, 14]"
