age,variable,value
"[00, 05)",ARIVisitInTimeRange,6418
"[05, 18)",ARIVisitInTimeRange,8374
"[18, 50)",ARIVisitInTimeRange,13261
"[50, 65)",ARIVisitInTimeRange,6154
"[65, 75)",ARIVisitInTimeRange,3196
"[75, 85)",ARIVisitInTimeRange,1700
"[85, 100)",ARIVisitInTimeRange,432
"[00, 05)",SARSCoV2TestedInTimeRange,1265
"[05, 18)",SARSCoV2TestedInTimeRange,2169
"[18, 50)",SARSCoV2TestedInTimeRange,26234
"[50, 65)",SARSCoV2TestedInTimeRange,10801
"[65, 75)",SARSCoV2TestedInTimeRange,6564
"[75, 85)",SARSCoV2TestedInTimeRange,3545
"[85, 100)",SARSCoV2TestedInTimeRange,809
"[00, 05)",SARSCoV2DetectedInTimeRange,22
"[05, 18)",SARSCoV2DetectedInTimeRange,62
"[18, 50)",SARSCoV2DetectedInTimeRange,915
"[50, 65)",SARSCoV2DetectedInTimeRange,425
"[65, 75)",SARSCoV2DetectedInTimeRange,197
"[75, 85)",SARSCoV2DetectedInTimeRange,124
"[85, 100)",SARSCoV2DetectedInTimeRange,46
"[00, 05)",firstorLastARItoFirstSARSCoV2TestedInDayRange,188
"[05, 18)",firstorLastARItoFirstSARSCoV2TestedInDayRange,312
"[18, 50)",firstorLastARItoFirstSARSCoV2TestedInDayRange,3621
"[50, 65)",firstorLastARItoFirstSARSCoV2TestedInDayRange,1807
"[65, 75)",firstorLastARItoFirstSARSCoV2TestedInDayRange,921
"[75, 85)",firstorLastARItoFirstSARSCoV2TestedInDayRange,460
"[85, 100)",firstorLastARItoFirstSARSCoV2TestedInDayRange,97
"[00, 05)",firstorLastARItoFirstSARSCoV2DetectedInDayRange,13
"[05, 18)",firstorLastARItoFirstSARSCoV2DetectedInDayRange,31
"[18, 50)",firstorLastARItoFirstSARSCoV2DetectedInDayRange,375
"[50, 65)",firstorLastARItoFirstSARSCoV2DetectedInDayRange,143
"[65, 75)",firstorLastARItoFirstSARSCoV2DetectedInDayRange,49
"[75, 85)",firstorLastARItoFirstSARSCoV2DetectedInDayRange,18
"[85, 100)",firstorLastARItoFirstSARSCoV2DetectedInDayRange,5
